V13,V14,p.value,probability,n,p_adju,p_scaled
IPR003850,Phosphoribosylformylglycinamidine synthase subunit PurS,0.2141258479059968,0.00021513365841942968,2,0.2564233973280849,5.91042350187231
IPR022372,Accessory secretory system protein Asp1,0.21448024480485292,0.00011375869004884869,1,0.2567423620077796,5.905024676419421
IPR041242,Putative HNHc nuclease,0.2146590012271415,0.00011381229923360309,1,0.2568509017555784,5.903189052100966
IPR005814,Aminotransferase class-III,0.2156573198060469,0.0009386432158648877,11,0.2579395998992752,5.884819781508643
IPR013120,"Fatty acyl-coenzyme A reductase, NAD-binding domain",0.2175249898318427,0.00011467004618967358,1,0.26006677751113294,5.849151236408529
IPR014957,IDEAL domain,0.21812520247818679,0.00029340306816086185,3,0.2606774960763904,5.838964592485933
IPR010432,RDD,0.21853231281419094,0.00021663471559255304,2,0.26105703570920963,5.832645976897699
IPR007698,"Alanine dehydrogenase/pyridine nucleotide transhydrogenase, NAD(H)-binding domain",0.22071435159807634,0.0002943144243016868,3,0.2635557122276784,5.791275665783124
IPR019614,S-adenosylmethionine-dependent methyltransferase,0.22186234218038056,0.00021776050847239557,2,0.2648180883331927,5.770523538433771
IPR009474,Bacilliredoxins BrxB/BrxA,0.2240941928207343,0.00021851103705895723,2,0.2673444712704172,5.729287927552512
IPR002429,Cytochrome c oxidase subunit II-like C-terminal,0.22419417056667204,0.00011665358602558659,1,0.2673444712704172,5.729287927552512
IPR011112,"Rho termination factor, N-terminal",0.22425397007113873,0.00021856464624371165,2,0.2673444712704172,5.729287927552512
IPR007324,"Sugar-binding domain, putative",0.2261058584709329,0.000396118266150303,5,0.269442044667446,5.695346345138032
IPR008278,4'-phosphopantetheinyl transferase domain,0.22663145073631258,0.0003964399212588294,5,0.26995805161237235,5.687037149840819
IPR032816,VTT domain,0.22905711336056822,0.0008729719645407408,19,0.2727360320781613,5.642574821574491
IPR029500,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,0.22946068727094138,0.00011820825238346435,1,0.27310504656410817,5.636702746874544
IPR021729,Domain of unknown function DUF3298,0.23000741814180864,0.00011836907993772757,1,0.2736440764184064,5.628139486055009
IPR008283,"Peptidase M17, leucyl aminopeptidase, N-terminal",0.23421070858157655,0.0001196020911870789,1,0.27853116893306573,5.5512619819865225
IPR020616,"Thiolase, N-terminal",0.23472752447362147,0.0004943839018051284,7,0.27903198588058714,5.543460100051947
IPR002762,Sirohydrochlorin cobaltochelatase CbiX-like,0.23539214523670335,0.00022226367999176564,2,0.2797080258802881,5.5329507189978635
IPR024654,"Calcineurin-like phosphoesterase domain, lpxH-type",0.23717912525057516,0.0004025513683208317,5,0.2817166310511923,5.501875138216111
IPR035218,Protein of unknown function DUF5327,0.2373305420888012,0.0001205134473279038,1,0.28178170225201316,5.500872116134136
IPR021120,KduI/IolB isomerase,0.23843425765544704,0.00012083510243643023,1,0.2829769211734976,5.482489829057884
IPR010996,"DNA polymerase beta-like, N-terminal domain",0.24119937979631922,0.00012163924020774632,1,0.28614214462411186,5.434181721502424
IPR029398,"DNA polymerase beta, thumb domain",0.24156868605055887,0.00012174645857725512,1,0.2864637204243309,5.429303720114174
IPR018309,"Transcription regulator PadR, C-terminal",0.2428624006709851,0.00012212172287053596,1,0.2878807968929238,5.407873037971037
IPR007382,"Uncharacterised protein family UPF0756, transmembrame",0.24304736150786913,0.00012217533205529036,1,0.2879829769024569,5.406331832679574
IPR010572,Prophage tail endopeptidase,0.24720551123708706,0.0003033743765251813,3,0.29279093044977494,5.334423801977333
IPR009507,Protein of unknown function UPF0435,0.24805474212524134,0.00012362278004365932,1,0.2936774778876182,5.321293582241512
IPR013549,Domain of unknown function DUF1731,0.2523402564378026,0.00012485579129301066,1,0.29862994633629564,5.248666437761194
IPR013830,SGNH hydrolase-type esterase domain,0.254154879774407,0.0006151653950568043,10,0.30065542775747295,5.219309513932643
IPR006027,NusB/RsmB/TIM44,0.25598366140490036,0.0005103594388619413,2,0.3025389955974816,5.192186392551248
IPR000352,Peptide chain release factor class I,0.2560583817333966,0.0005108955307094854,2,0.3025389955974816,5.192186392551248
IPR004044,"K Homology domain, type 2",0.25596994268198736,0.0005102522204924326,2,0.3025389955974816,5.192186392551248
IPR019554,Soluble ligand binding domain,0.2583071393389656,0.0002296617474878736,2,0.30507234439547337,5.155971605018825
